Identifikace přejezdu,TÚ přejezdu,Evidenční km poloha,Zabezpečení přejezdu,Krajský úřad,Oblastní ředitelství,Třída komunikace,Zeměpisná šířka,Zeměpisná délka
P5530,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"15,617",N - Přejezd zabezpečený pouze výstražným křížem,Liberecký kraj,65099 - OŘ Hradec Králové,O - účelové komunikace - ostatní,50° 43' 38.81879'' N,15° 11' 19.64316'' E
P5531,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"16,368",S - Světelná PZZ se závorami,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 43' 53.43327'' N,15° 11' 28.94850'' E
P5533,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"18,885",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,O - účelové komunikace - ostatní,50° 44' 24.37784'' N,15° 13' 12.50261'' E
P5534,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"18,982",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 44' 23.58004'' N,15° 13' 17.18550'' E
P5535,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"19,219",S - Světelná PZZ se závorami,Liberecký kraj,65099 - OŘ Hradec Králové,III. - silnice III.třídy,50° 44' 22.04696'' N,15° 13' 28.95461'' E
P5536,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"20,265",S - Světelná PZZ se závorami,Liberecký kraj,65099 - OŘ Hradec Králové,I. - silnice I.třídy,50° 44' 19.55396'' N,15° 14' 18.33567'' E
P5537,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"20,933",S - Světelná PZZ se závorami,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 44' 28.70065'' N,15° 14' 49.82257'' E
P5538,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"21,621",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,O - účelové komunikace - ostatní,50° 44' 11.85547'' N,15° 14' 55.33495'' E
P5539,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"21,908",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,D1 - místní komunikace - pěší a obytné zóny,50° 44' 03.12901'' N,15° 14' 59.59030'' E
P554,0281 - Protivín (mimo) - Zdice (mimo),"89,192",N - Přejezd zabezpečený pouze výstražným křížem,Středočeský kraj,66699 - OŘ Praha,O - účelové komunikace - ostatní,49° 48' 31.42201'' N,13° 58' 13.63088'' E
P5540,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"22,360",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 43' 54.71081'' N,15° 15' 18.27662'' E
P5541,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"24,228",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 44' 06.33645'' N,15° 16' 38.76159'' E
P5542,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"24,652",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,O - účelové komunikace - ostatní,50° 44' 04.16476'' N,15° 17' 00.16091'' E
P5543,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"24,871",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 44' 06.88700'' N,15° 17' 09.74559'' E
P5544,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"26,601",S - Světelná PZZ se závorami,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 44' 14.39849'' N,15° 18' 21.03136'' E
P5545,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"27,642",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,III. - silnice III.třídy,50° 44' 44.69638'' N,15° 18' 41.09742'' E
P5546,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"27,985",N - Přejezd zabezpečený pouze výstražným křížem,Liberecký kraj,65099 - OŘ Hradec Králové,O - účelové komunikace - ostatní,50° 44' 54.26339'' N,15° 18' 49.43505'' E
P5547,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"28,651",N - Přejezd zabezpečený pouze výstražným křížem,Liberecký kraj,65099 - OŘ Hradec Králové,III. - silnice III.třídy,50° 45' 11.97756'' N,15° 18' 40.89410'' E
P5548,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"29,107",N - Přejezd zabezpečený pouze výstražným křížem,Liberecký kraj,65099 - OŘ Hradec Králové,O - účelové komunikace - ostatní,50° 45' 19.45775'' N,15° 18' 23.42510'' E
P555,0281 - Protivín (mimo) - Zdice (mimo),"90,065",M - Mechanická PZZ,Středočeský kraj,66699 - OŘ Praha,O - účelové komunikace - ostatní,49° 48' 58.16031'' N,13° 58' 05.41627'' E
P5550,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"31,049",N - Přejezd zabezpečený pouze výstražným křížem,Liberecký kraj,65099 - OŘ Hradec Králové,O - účelové komunikace - ostatní,50° 45' 41.50359'' N,15° 19' 42.97752'' E
P5551,1671 - Liberec (mimo) - Szklarska Poręba (PKP) (část),"34,067",N - Přejezd zabezpečený pouze výstražným křížem,Liberecký kraj,65099 - OŘ Hradec Králové,III. - silnice III.třídy,50° 46' 13.26716'' N,15° 21' 46.81252'' E
P5553,1681 - Smržovka (mimo) - Josefův Důl (včetně),"2,978",S - Světelná PZZ bez závor,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 45' 21.78502'' N,15° 15' 45.83727'' E
P5554,1681 - Smržovka (mimo) - Josefův Důl (včetně),"3,647",N - Přejezd zabezpečený pouze výstražným křížem,Liberecký kraj,65099 - OŘ Hradec Králové,O - účelové komunikace - ostatní,50° 45' 39.95498'' N,15° 16' 03.41047'' E
P5556,1681 - Smržovka (mimo) - Josefův Důl (včetně),"6,210",N - Přejezd zabezpečený pouze výstražným křížem,Liberecký kraj,65099 - OŘ Hradec Králové,O - účelové komunikace - ostatní,50° 46' 36.35951'' N,15° 14' 43.26534'' E
P5557,1681 - Smržovka (mimo) - Josefův Důl (včetně),"6,570",N - Přejezd zabezpečený pouze výstražným křížem,Liberecký kraj,65099 - OŘ Hradec Králové,C - místní komunikace - obslužná,50° 46' 42.92913'' N,15° 14' 28.37474'' E
P5558,1691 - Summerau (ÖBB) (část) - České Budějovice (mimo)(Rožnov,"70,092",S - Světelná PZZ bez závor,Jihočeský kraj,85499 - OŘ Plzeň,III. - silnice III.třídy,48° 39' 07.93567'' N,14° 25' 51.36330'' E
